Filename,ID,Microscope,Objective,Mag,Accession,Ear ,Ear row,Ear position,Spk position,Position type,taxon code,View,Charred?
17555_TRI29935_A_Taes_R9_3of3_External_1x1_l_c,17555,Nikon,1x,1,TRI29935,A,R9,Mid,3of3,External,Taes,l,c
17556_TRI29935_A_Taes_R14_1of1_Solo_1x1_d_c,17556,Nikon,1x,1,TRI29935,A,R14,Top,1of1,Solo,Taes,d,c
17557_TRI29935_A_Taes_R14_1of1_Solo_1x1_l_c,17557,Nikon,1x,1,TRI29935,A,R14,Top,1of1,Solo,Taes,l,c
17558_TRI29935_A_Taes_R15_1of2_External_1x1_d_c,17558,Nikon,1x,1,TRI29935,A,R15,Top,1of2,External,Taes,d,c
17559_TRI29935_A_Taes_R15_1of2_External_1x1_l_c,17559,Nikon,1x,1,TRI29935,A,R15,Top,1of2,External,Taes,l,c
17560_TRI29935_A_Taes_R15_2of2_External_1x1_d_c,17560,Nikon,1x,1,TRI29935,A,R15,Top,2of2,External,Taes,d,c
17561_TRI29935_A_Taes_R15_2of2_External_1x1_l_c,17561,Nikon,1x,1,TRI29935,A,R15,Top,2of2,External,Taes,l,c
17562_TRI29935_B_Taes_R1_1of3_External_1x1_d_c,17562,Nikon,1x,1,TRI29935,B,R1,Base,1of3,External,Taes,d,c
17563_TRI29935_B_Taes_R1_1of3_External_1x1_l_c,17563,Nikon,1x,1,TRI29935,B,R1,Base,1of3,External,Taes,l,c
17564_TRI29935_B_Taes_R1_2of3_Internal_1x1_d_c,17564,Nikon,1x,1,TRI29935,B,R1,Base,2of3,Internal,Taes,d,c
17565_TRI29935_B_Taes_R1_2of3_Internal_1x1_l_c,17565,Nikon,1x,1,TRI29935,B,R1,Base,2of3,Internal,Taes,l,c
17566_TRI29935_B_Taes_R1_3of3_External_1x1_d_c,17566,Nikon,1x,1,TRI29935,B,R1,Base,3of3,External,Taes,d,c
17567_TRI29935_B_Taes_R1_3of3_External_1x1_l_c,17567,Nikon,1x,1,TRI29935,B,R1,Base,3of3,External,Taes,l,c
17568_TRI29935_B_Taes_R10_2of4_Internal_1x1_d_c,17568,Nikon,1x,1,TRI29935,B,R10,Mid,2of4,Internal,Taes,d,c
17569_TRI29935_B_Taes_R10_2of4_Internal_1x1_l_c,17569,Nikon,1x,1,TRI29935,B,R10,Mid,2of4,Internal,Taes,l,c
17570_TRI29935_B_Taes_R10_3of4_Internal_1x1_d_c,17570,Nikon,1x,1,TRI29935,B,R10,Mid,3of4,Internal,Taes,d,c
17571_TRI29935_B_Taes_R10_3of4_Internal_1x1_l_c,17571,Nikon,1x,1,TRI29935,B,R10,Mid,3of4,Internal,Taes,l,c
17572_TRI29935_B_Taes_R10_4of4_External_1x1_d_c,17572,Nikon,1x,1,TRI29935,B,R10,Mid,4of4,External,Taes,d,c
17573_TRI29935_B_Taes_R10_4of4_External_1x1_l_c,17573,Nikon,1x,1,TRI29935,B,R10,Mid,4of4,External,Taes,l,c
17574_TRI29935_B_Taes_R18_2of3_Internal_1x1_d_c,17574,Nikon,1x,1,TRI29935,B,R18,Top,2of3,Internal,Taes,d,c
17575_TRI29935_B_Taes_R18_2of3_Internal_1x1_l_c,17575,Nikon,1x,1,TRI29935,B,R18,Top,2of3,Internal,Taes,l,c
17576_TRI29935_B_Taes_R19_1of2_External_1x1_d_c,17576,Nikon,1x,1,TRI29935,B,R19,Top,1of2,External,Taes,d,c
17577_TRI29935_B_Taes_R19_1of2_External_1x1_l_c,17577,Nikon,1x,1,TRI29935,B,R19,Top,1of2,External,Taes,l,c
17578_TRI29935_B_Taes_R19_2of2_External_1x1_d_c,17578,Nikon,1x,1,TRI29935,B,R19,Top,2of2,External,Taes,d,c
