Filename,ID,Microscope,Objective,Mag,Accession,Ear ,Ear row,Ear position,Spk position,Position type,taxon code,View,Charred?
17787_CGN6554_A_Tdur_R8_2of2_External_1x1_l_c,17787,Nikon,1x,1,CGN6554,A,R8,Mid,2of2,External,Tdur_Cyprus,l,c
17788_CGN6554_A_Tdur_R9_2of2_External_1x1_d_c,17788,Nikon,1x,1,CGN6554,A,R9,Mid,2of2,External,Tdur_Cyprus,d,c
17789_CGN6554_A_Tdur_R9_2of2_External_1x1_l_c,17789,Nikon,1x,1,CGN6554,A,R9,Mid,2of2,External,Tdur_Cyprus,l,c
17790_CGN6554_A_Tdur_R13_1of2_External_1x1_d_c,17790,Nikon,1x,1,CGN6554,A,R13,Top,1of2,External,Tdur_Cyprus,d,c
17791_CGN6554_A_Tdur_R13_1of2_External_1x1_l_c,17791,Nikon,1x,1,CGN6554,A,R13,Top,1of2,External,Tdur_Cyprus,l,c
17792_CGN6554_A_Tdur_R14_1of1_Solo_1x1_d_c,17792,Nikon,1x,1,CGN6554,A,R14,Top,1of1,Solo,Tdur_Cyprus,d,c
17793_CGN6554_A_Tdur_R14_1of1_Solo_1x1_l_c,17793,Nikon,1x,1,CGN6554,A,R14,Top,1of1,Solo,Tdur_Cyprus,l,c
17794_CGN6554_A_Tdur_R15_1of1_Solo_1x1_d_c,17794,Nikon,1x,1,CGN6554,A,R15,Top,1of1,Solo,Tdur_Cyprus,d,c
17795_CGN6554_A_Tdur_R15_1of1_Solo_1x1_l_c,17795,Nikon,1x,1,CGN6554,A,R15,Top,1of1,Solo,Tdur_Cyprus,l,c
17796_CGN6554_B_Tdur_R1_1of3_External_1x1_d_c,17796,Nikon,1x,1,CGN6554,B,R1,Base,1of3,External,Tdur_Cyprus,d,c
17797_CGN6554_B_Tdur_R1_1of3_External_1x1_l_c,17797,Nikon,1x,1,CGN6554,B,R1,Base,1of3,External,Tdur_Cyprus,l,c
17798_CGN6554_B_Tdur_R2_2of3_Internal_1x1_d_c,17798,Nikon,1x,1,CGN6554,B,R2,Base,2of3,Internal,Tdur_Cyprus,d,c
17799_CGN6554_B_Tdur_R2_2of3_Internal_1x1_l_c,17799,Nikon,1x,1,CGN6554,B,R2,Base,2of3,Internal,Tdur_Cyprus,l,c
17800_CGN6554_B_Tdur_R2_3of3_External_1x1_d_c,17800,Nikon,1x,1,CGN6554,B,R2,Base,3of3,External,Tdur_Cyprus,d,c
17801_CGN6554_B_Tdur_R2_3of3_External_1x1_l_c,17801,Nikon,1x,1,CGN6554,B,R2,Base,3of3,External,Tdur_Cyprus,l,c
17802_CGN6554_B_Tdur_R8_1of3_External_1x1_d_c,17802,Nikon,1x,1,CGN6554,B,R8,Mid,1of3,External,Tdur_Cyprus,d,c
17803_CGN6554_B_Tdur_R8_1of3_External_1x1_l_c,17803,Nikon,1x,1,CGN6554,B,R8,Mid,1of3,External,Tdur_Cyprus,l,c
17804_CGN6554_B_Tdur_R8_2of3_Internal_1x1_d_c,17804,Nikon,1x,1,CGN6554,B,R8,Mid,2of3,Internal,Tdur_Cyprus,d,c
17805_CGN6554_B_Tdur_R8_2of3_Internal_1x1_l_c,17805,Nikon,1x,1,CGN6554,B,R8,Mid,2of3,Internal,Tdur_Cyprus,l,c
17806_CGN6554_B_Tdur_R8_3of3_External_1x1_d_c,17806,Nikon,1x,1,CGN6554,B,R8,Mid,3of3,External,Tdur_Cyprus,d,c
17807_CGN6554_B_Tdur_R8_3of3_External_1x1_l_c,17807,Nikon,1x,1,CGN6554,B,R8,Mid,3of3,External,Tdur_Cyprus,l,c
17808_CGN6554_B_Tdur_R14_1of2_External_1x1_d_c,17808,Nikon,1x,1,CGN6554,B,R14,Top,1of2,External,Tdur_Cyprus,d,c
17809_CGN6554_B_Tdur_R14_1of2_External_1x1_l_c,17809,Nikon,1x,1,CGN6554,B,R14,Top,1of2,External,Tdur_Cyprus,l,c
17810_CGN6554_B_Tdur_R14_2of2_External_1x1_d_c,17810,Nikon,1x,1,CGN6554,B,R14,Top,2of2,External,Tdur_Cyprus,d,c
17811_CGN6554_B_Tdur_R14_2of2_External_1x1_l_c,17811,Nikon,1x,1,CGN6554,B,R14,Top,2of2,External,Tdur_Cyprus,l,c
